Title,Author,Year,Source
La Salamandre,Eugène Sue,1832,Wikidata
À quoi rêvent les jeunes filles,Alfred de Musset,1832,Wikidata
Onuphrius,Théophile Gautier,1832,Wikidata
Les Trois Lectures,Sophie Gay,1832,Wikidata
Eugénie Grandet,Honoré de Balzac,1833,CIDRE
Histoire des Treize (1er épisode) - Ferragus,Honoré de Balzac,1833,CIDRE
Histoire des Treize (2e épisode) - La Duchesse de Langeais,Honoré de Balzac,1833,CIDRE
Le Médecin de campagne,Honoré de Balzac,1833,CIDRE
Le Secrétaire intime,George Sand,1833,CIDRE
Lélia,George Sand,1833,CIDRE
Les Marana,Honoré de Balzac,1833,CIDRE
L'Illustre Gaudissart,Honoré de Balzac,1833,Wikidata
Histoire des Treize,Honoré de Balzac,1833,Wikidata
L'Atelier d'un peintre,Marceline Desbordes-Valmore,1833,Wikidata
Gamiani ou Deux nuits d'excès,Alfred de Musset,1833,Wikidata
André del Sarto,Alfred de Musset,1833,Wikidata
Le Nid de rossignols,Théophile Gautier,1833,Wikidata
André,George Sand,1834,CIDRE
Histoire des Treize (3e épisode) - La Fille aux yeux d'or,Honoré de Balzac,1834,CIDRE
La Recherche de l'Absolu,Honoré de Balzac,1834,CIDRE
Leone Leoni,George Sand,1834,CIDRE
Séraphîta,Honoré de Balzac,1834,CIDRE
Ferragus,Honoré de Balzac,1834,Wikidata
Poésies inédites,Marceline Desbordes-Valmore,1834,Wikidata
Lorenzaccio,Alfred de Musset,1834,Wikidata
On ne badine pas avec l'amour,Alfred de Musset,1834,Wikidata
Omphale,Théophile Gautier,1834,Wikidata
Un nom,Frédéric Soulié,1834,Wikidata
Le Contrat de mariage,Honoré de Balzac,1835,CIDRE
Le Père Goriot,Honoré de Balzac,1835,CIDRE
Melmoth réconcilié,Honoré de Balzac,1835,CIDRE
Mademoiselle de Maupin,Théophile Gautier,1835,Wikidata
Chatterton,Alfred de Vigny,1835,Wikidata
La Vie et la Mort du Capitaine Renaud,Alfred de Vigny,1835,Wikidata
Barberine,Alfred de Musset,1835,Wikidata
La Fille aux yeux d'or,Honoré de Balzac,1835,Wikidata
Les Derniers Bretons,Émile Souvestre,1835,Wikidata
L'Interdiction,Honoré de Balzac,1836,CIDRE
Le Lys dans la vallée,Honoré de Balzac,1836,CIDRE
Les Rivalités (deuxième histoire) - Le Cabinet des Antiques,Honoré de Balzac,1836,CIDRE
Les Rivalités (première histoire) - La Vieille Fille,Honoré de Balzac,1836,CIDRE
Mauprat,George Sand,1836,CIDRE
Simon,George Sand,1836,CIDRE
La Confession d'un enfant du siècle,Alfred de Musset,1836,Wikidata
La Comtesse de Salisbury,Alexandre Dumas,1836,Wikidata
La Nuit d’août,Alfred de Musset,1836,Wikidata
La Morte amoureuse,Théophile Gautier,1836,Wikidata
La Messe de l'athée,Honoré de Balzac,1836,Wikidata
Picciola,Xavier Boniface Saintine,1836,Wikidata
Gambara,Honoré de Balzac,1837,CIDRE
Illusions perdues (1re partie) - Les Deux Poètes,Honoré de Balzac,1837,CIDRE
La Dernière Aldini,George Sand,1837,CIDRE
Les Employés ou la Femme supérieure,Honoré de Balzac,1837,CIDRE
Les Maîtres mosaïstes,George Sand,1837,CIDRE
Massimilla Doni,Honoré de Balzac,1837,CIDRE
Le Journal d'un inconnu,Eugène Sue,1837,Wikidata
Illusions perdues,Honoré de Balzac,1837,Wikidata
La Muse du département,Honoré de Balzac,1837,Wikidata
La Vieille Fille,Honoré de Balzac,1837,Wikidata
Fortunio,Théophile Gautier,1837,Wikidata
Vittoria Accoramboni,Stendhal,1837,Wikidata
Emmeline,Alfred de Musset,1837,Wikidata
Les Mémoires du Diable,Frédéric Soulié,1837,Wikidata
Adrien Brauwer (Emile Souvestre),Émile Souvestre,1837,Wikidata
Histoire de la grandeur et de la décadence de César Birotteau,Honoré de Balzac,1838,CIDRE
L’Uscoque,George Sand,1838,CIDRE
La Maison Nucingen,Honoré de Balzac,1838,CIDRE
Splendeurs et misères des courtisanes (1re partie) - Esther heureuse,Honoré de Balzac,1838,CIDRE
Splendeurs et misères des courtisanes,Honoré de Balzac,1838,Wikidata
Gaspard Hauser,Adolphe d'Ennery,1838,Wikidata
Latréaumont,Eugène Sue,1838,Wikidata
Sur la naissance du Comte de Paris,Alfred de Musset,1838,Wikidata
Les Deux Parvenus,Frédéric Soulié,1838,Wikidata
Tragédie ou drame historique,Frédéric Soulié,1838,Wikidata
Illusions perdues (2e partie) - Un grand homme de province à Paris,Honoré de Balzac,1839,CIDRE
Le Curé de village,Honoré de Balzac,1839,CIDRE
Les Secrets de la princesse de Cadignan,Honoré de Balzac,1839,CIDRE
Une fille d'ève,Honoré de Balzac,1839,CIDRE
Le Prieur des pénitents rouges,Élie Berthet,1839,Wikidata
La Chartreuse de Parme,Stendhal,1839,Wikidata
Le Cabinet des Antiques,Honoré de Balzac,1839,Wikidata
Pierre Grassou,Honoré de Balzac,1839,Wikidata
Béatrix,Honoré de Balzac,1839,Wikidata
L'abbesse de Castro,Stendhal,1839,Wikidata
Les Sept Cordes de la lyre,George Sand,1839,Wikidata
Pauvres fleurs,Marceline Desbordes-Valmore,1839,Wikidata
Kardiki,Eugène Sue,1839,Wikidata
L'Âme de la maison,Théophile Gautier,1839,Wikidata
Bourbon pittoresque,Eugène Dayot,1839,Wikidata
L'Homme et l'Argent,Émile Souvestre,1839,Wikidata
Le Compagnon du tour de France,George Sand,1840,CIDRE
Les Célibataires - Pierrette,Honoré de Balzac,1840,CIDRE
"Mathilde, mémoires d'une jeune femme",Eugène Sue,1840,Wikidata
Pierrette,Honoré de Balzac,1840,Wikidata
"Mémoires d’un maître d’armes, ou dix huits mois à Saint-Pétersbourg",Alexandre Dumas,1840,Wikidata
Katerina,Marceline Desbordes-Valmore,1840,Wikidata
Mon portrait,Alexandre Pouchkine,1840,Wikidata
Une soirée perdue,Alfred de Musset,1840,Wikidata
À la mi-Carême,Alfred de Musset,1840,Wikidata
Le Pied de momie,Théophile Gautier,1840,Wikidata
Le Chevalier double,Théophile Gautier,1840,Wikidata
Le Duc de l'Omelette,Edgar Allan Poe,1840,Wikidata
La Chouannerie en Bretagne - M. de Boishardy,Émile Souvestre,1840,Wikidata
Horace,George Sand,1841,CIDRE
La Fausse Maîtresse,Honoré de Balzac,1841,CIDRE
Une ténébreuse affaire,Honoré de Balzac,1841,CIDRE
Ursule Mirouët,Honoré de Balzac,1841,CIDRE
Mouny Robin,George Sand,1841,Wikidata
Le Commandeur de Malte,Eugène Sue,1841,Wikidata
L'Aventurier ou la Barbe-bleue,Eugène Sue,1841,Wikidata
Deux acteurs pour un rôle,Théophile Gautier,1841,Wikidata
Le Tasse et la princesse Éléonore d'Est,Augustine Gottis,1841,Wikidata
Albert Savarus,Honoré de Balzac,1842,CIDRE
Consuelo,George Sand,1842,CIDRE
Les Célibataires - Un ménage de garçon,Honoré de Balzac,1842,CIDRE
Mémoires de deux jeunes mariées,Honoré de Balzac,1842,CIDRE
Un début dans la vie,Honoré de Balzac,1842,CIDRE
Paula Monti ou l'Hôtel Lambert,Eugène Sue,1842,Wikidata
Les Mystères de Paris,Eugène Sue,1842,Wikidata
Vingt-quatre heures d’une femme sensible,Constance de Théis,1842,Wikidata
Un ménage de garçon,Honoré de Balzac,1842,Wikidata
La Bague d’Annibal,Jules Barbey d’Aurevilly,1842,Wikidata
Le Morne au diable,Eugène Sue,1842,Wikidata
L'Abbaye,Eugène Sue,1842,Wikidata
Après une lecture,Alfred de Musset,1842,Wikidata
La Mille et Deuxième Nuit,Théophile Gautier,1842,Wikidata
Honorine,Honoré de Balzac,1843,CIDRE
Illusions perdues (3e partie) - Ève et David,Honoré de Balzac,1843,CIDRE
La Comtesse de Rudolstadt,George Sand,1843,CIDRE
Le loup blanc,Paul Féval,1843,CIDRE
Les Parisiens en province - La Muse du département,Honoré de Balzac,1843,CIDRE
Splendeurs et misères des courtisanes (2e partie) - A combien l'amour revient aux vieillards,Honoré de Balzac,1843,CIDRE
Le Chevalier d'Harmental,Alexandre Dumas,1843,Wikidata
Le Chevalier d'Harmental,Auguste Maquet,1843,Wikidata
La Rabouilleuse,Honoré de Balzac,1843,Wikidata
Georges,Alexandre Dumas,1843,Wikidata
Le Château d'Eppstein,Alexandre Dumas,1843,Wikidata
Domenica,Marceline Desbordes-Valmore,1843,Wikidata
Wyandotté,James Fenimore Cooper,1843,Wikidata
Une visite nocturne,Théophile Gautier,1843,Wikidata
Fernand,Jules Sandeau,1843,Wikidata
Mon oncle Benjamin,Claude Tillier,1843,Wikidata
Huit jours au château,Frédéric Soulié,1843,Wikidata
Un homme sérieux,Charles de Bernard,1843,Wikidata
Contes de Bretagne,Paul Féval,1844,CIDRE
Jeanne,George Sand,1844,CIDRE
